emb1	emb2	emb3	emb4	emb5	emb6	emb7	emb8	emb9	emb10	emb11	emb12	emb13	emb14	emb15	emb16	emb17	emb18	emb19	emb20	emb21	emb22	emb23	emb24	emb25	emb26	emb27	emb28	emb29	emb30	emb31	emb32	emb33	emb34	emb35	emb36	emb37	emb38	emb39	emb40	emb41	emb42	emb43	emb44	emb45	emb46	emb47	emb48	emb49	emb50	emb51	emb52	emb53	emb54	emb55	emb56	emb57	emb58	emb59	emb60	emb61	emb62	emb63	emb64	label
0.2300578	0.082918555	-0.14130962	-0.034486167	0.042941082	0.008624212	0.07530873	-0.058484882	-0.06721261	0.0055391174	0.033155397	0.29849252	-0.08898181	-0.011767186	-0.07115851	-0.035403114	-0.09765242	0.04031936	-0.046756066	0.11389504	-0.08032201	0.041236624	0.12785423	-0.11786589	-0.0247607	-0.20740929	-0.06848094	0.03490626	0.05387667	0.27860695	0.20890664	-0.22692007	-0.11252556	0.060500197	0.1223682	0.020037208	0.12994087	-0.15166374	0.1212087	-0.17565873	-0.26197308	0.13823107	0.04481637	0.09147218	-0.14671904	-0.0071935793	0.069850765	0.1500819	-0.20482592	-0.031031612	-0.17485547	-0.020779517	0.21243915	-0.2987249	0.033053838	0.04771653	-0.07259472	-0.009656089	0.047069136	0.01668885	-0.14350948	0.016933547	0.057960168	0.031072075	0
0.11238798	-0.11297543	-0.047011882	0.02751449	0.06587313	0.023323499	0.15591498	0.0479889	-0.007929619	0.09990996	0.038040966	0.030727386	-0.14894909	0.12735559	-0.1713578	-0.12831405	-0.13111177	0.03032607	-0.026821226	0.13522562	-0.11065553	0.059820212	0.18736427	0.14724763	-0.0010648391	0.028556952	-0.17986125	0.13314125	0.16820943	-0.09021784	0.12524831	-0.16440777	-0.08046424	0.27114826	0.25439358	0.054008454	-0.07173239	-0.20216605	-0.05169246	-0.14606266	-0.030545998	0.071517274	0.15827441	0.24673915	-0.040586747	0.16664243	0.08952156	0.2873491	0.11653764	-0.030422881	0.019043893	-0.04604546	0.17330338	-0.14510722	-0.069678724	-0.075351685	-0.060809493	-0.06032923	0.01421627	0.19659135	0.07188675	-0.07101883	0.16180333	0.11062753	0
0.1925635	0.19422345	-0.203621	-0.09493557	0.03709072	-0.06026415	0.09653094	-0.088011004	0.017584356	0.0045377817	0.15194231	0.31687313	0.0622586	0.06609903	-0.09659864	0.01008305	-0.07026737	0.058443934	0.01821989	0.25681904	-0.09345938	0.1492897	0.14734602	-0.073813945	-0.024315096	-0.1991964	-0.07078205	0.016265247	0.13185331	0.07101907	0.21876064	-0.2126171	-0.14900362	0.1393862	0.11929236	0.055362366	0.048123583	-0.08853064	0.1753802	-0.03960463	-0.19141711	0.13087785	-0.058377452	0.1780947	-0.044182785	0.038916506	0.013678594	0.14694884	0.04004909	-0.0033675865	-0.09573545	0.002910608	0.25913817	-0.22380263	0.033271316	-0.068263724	-0.08331176	0.016994081	-0.027575552	0.21368632	-0.06788802	0.068751246	-0.055659294	0.04202961	0
0.09161038	-0.13395034	-0.07052277	0.07039322	0.043095373	0.0941855	0.12234342	0.03982503	0.004486463	-0.026068687	0.14997602	0.049529895	-0.12214169	0.2966299	-0.21721768	0.002568622	-0.16259827	0.043464903	-0.074530244	0.19117908	0.032297954	0.17671192	0.21293274	0.108138636	-0.0648794	-0.0024339035	-0.23136616	0.043085925	0.09974307	-0.033035822	0.12703875	-0.08611663	-0.09780988	0.21746394	0.042012796	0.032613732	-0.016187033	0.07759595	0.06882484	-0.22028455	0.017949376	0.099781945	-0.03545966	0.21693966	0.02280742	0.01085262	-0.04432163	0.393336	0.10098793	0.08638269	-0.2003334	0.024213672	0.037852295	-0.20503813	-0.04764744	-0.057071846	0.03556311	-0.008773353	0.043679215	0.17576239	-0.02749746	-0.06737043	-0.11841932	0.10377656	0
-0.0028495926	0.06477498	-0.111800276	-0.1173522	0.048238896	-0.042611025	0.21549693	-0.1369944	0.09766768	0.02814643	0.040333193	0.19777595	-0.05404357	0.14534767	-0.123337686	0.0084585305	-0.218476	0.025200725	-0.049211636	0.21077973	-0.04663789	0.05260776	0.10544768	-0.10725361	0.17517777	-0.17662992	0.014661171	-0.21688652	0.03583917	-0.00017850459	0.1448912	-0.0930071	0.11532366	0.11511369	0.074234374	0.033648305	-0.008887385	-0.1258259	0.04881967	-0.2286554	-0.1833095	0.16431408	-0.15587676	0.30182213	-0.0787618	-0.045154776	-0.14012104	0.25991327	0.15596534	-0.056068204	-0.20214549	0.023434075	0.0077482695	-0.1556663	0.052319802	0.014653398	0.03795718	-0.02691644	0.013215372	0.26107386	0.027050547	0.006472458	-0.016635453	0.061956435	0
0.31822452	-0.069520146	0.11006665	0.057476666	0.068478845	0.03926438	0.028721068	-0.02541932	0.028526895	-0.08955336	-0.043461654	0.22135305	-0.17051929	0.0035247933	0.016182235	0.056931235	0.006843861	-0.20473666	-0.07389932	0.10077533	0.029673789	0.066743284	-0.070632264	0.08667222	0.012304445	-0.044357453	-0.24254987	0.19511926	0.0560852	0.19591261	-0.003672414	-0.1807377	-0.074599326	0.27455547	0.06122829	0.05370702	0.068880305	-0.05130338	0.11680993	-0.14044762	-0.051525045	0.113289066	-0.051516112	-0.0063343104	-0.081300735	0.120899975	0.1700075	0.07747583	-0.08438252	-0.028203283	-0.13476709	0.10704501	0.08173206	-0.28077865	-0.07132991	0.024321247	0.2975527	-0.22844282	0.16861159	0.08419199	0.08164631	-0.04303184	-0.09230305	0.071193144	0
-0.032619894	0.17938718	0.048317842	-0.11248478	-0.114895806	-0.13744828	-0.12981305	-0.2016145	-0.06650381	0.13964154	0.13087162	0.15512972	0.25190467	0.015736643	0.18195724	-0.021468034	-0.059390344	0.05645107	0.019518143	-0.07804105	-0.14742795	-0.0979864	0.11399791	-0.04786139	0.13479525	-0.0454872	0.12581128	-0.17306262	-0.21984982	0.09703305	-0.04115822	0.12387547	-0.025297115	-0.21102765	0.082104504	0.11881092	-0.05361675	-0.09730272	-0.0491677	-0.022866838	-0.09411119	-0.09134598	0.05700299	0.031753212	-0.025021132	-0.1920539	-0.06588091	-0.028776716	0.20307656	0.0027470142	-0.15140554	0.011168267	-0.022163201	-0.097933516	-0.11617765	0.23544192	-0.18830325	-0.18608016	-0.14269394	0.14914177	0.16117135	-0.21303049	-0.08863403	0.13603103	0
-0.02345927	0.04328	-0.13700548	-0.08472726	0.059154205	-0.008778324	0.13357139	-0.15756094	0.104515634	0.11306639	0.06938116	0.23724142	0.017419763	0.1375716	-0.041482817	-0.026859771	-0.23494913	0.08407385	0.036102936	0.20245463	-0.044715922	0.04100392	0.0958385	-0.13796479	0.1981448	-0.15114224	0.08338174	-0.2088565	0.007085976	-0.035709985	0.10764469	-0.077821895	0.14452988	0.08788476	0.10527477	0.025714237	-0.06260866	-0.16569245	0.087504044	-0.21942711	-0.1588746	0.116668895	-0.15070556	0.34341466	-0.06914509	-0.033720415	-0.13254388	0.21902692	0.18175429	-0.075370245	-0.18586177	0.031238837	-0.013138171	-0.11737117	0.07031608	0.015938103	-0.033654973	-0.028636713	0.02582749	0.25977015	0.061070617	-0.040528663	0.056397066	0.012840818	0
0.27445015	-0.08510126	-0.109177925	-0.15267484	-0.09336958	-0.008928892	0.23787558	0.08896758	0.14568487	-0.057109274	0.0794435	-0.08002007	-0.056998096	-0.06820549	-0.06464846	-0.08290623	0.020469852	-0.07636247	0.08412848	-0.1546405	0.044037804	0.15925696	0.25328583	-0.06291558	0.008155379	-0.009158056	-0.2248092	-0.0492061	0.03300142	-0.11059961	0.08004667	-0.027459826	0.2276211	-0.017804418	-0.12836698	-0.15708688	-0.029719796	-0.07666381	0.22597644	0.06329927	-0.12681836	0.17451754	-0.008971271	-0.025984652	0.27486902	0.07738061	0.015431395	0.12530622	0.11101894	-0.026327027	0.11850194	-0.16465893	0.06045625	-0.14610046	-0.02560198	-0.1924233	0.013760332	0.17120245	-0.14907052	-0.023670092	0.00781763	-0.15352073	-0.18669066	-0.13739073	0
-0.03282229	0.18797386	0.05755166	-0.1168545	-0.10931553	-0.14640066	-0.12961361	-0.1912921	-0.06517036	0.13111892	0.12084082	0.14736363	0.257654	0.013947928	0.18544939	-0.014760736	-0.061958633	0.057719402	0.023638917	-0.075860925	-0.14883369	-0.0966668	0.111350335	-0.045419637	0.13154858	-0.05551494	0.11834033	-0.16394028	-0.22307584	0.096180364	-0.040804487	0.12350714	-0.032730408	-0.21094276	0.087572955	0.116116844	-0.06455596	-0.09510745	-0.053002436	-0.012484044	-0.09149551	-0.09855561	0.06251659	0.027948944	-0.02894771	-0.19323292	-0.061195936	-0.03404168	0.20670487	0.007967558	-0.14432704	0.0074864486	-0.016508512	-0.089836255	-0.12021671	0.23480695	-0.19048655	-0.1863853	-0.15194592	0.14582631	0.1642482	-0.21254927	-0.08850674	0.12962288	0
