emb1	emb2	emb3	emb4	emb5	emb6	emb7	emb8	emb9	emb10	emb11	emb12	emb13	emb14	emb15	emb16	emb17	emb18	emb19	emb20	emb21	emb22	emb23	emb24	emb25	emb26	emb27	emb28	emb29	emb30	emb31	emb32	emb33	emb34	emb35	emb36	emb37	emb38	emb39	emb40	emb41	emb42	emb43	emb44	emb45	emb46	emb47	emb48	emb49	emb50	emb51	emb52	emb53	emb54	emb55	emb56	emb57	emb58	emb59	emb60	emb61	emb62	emb63	emb64	label
0.2628272	0.19813278	0.1436792	-0.15723896	-0.032155108	-0.083704375	0.19085291	0.03607077	0.16771704	-0.17135751	-0.016902534	0.044916026	-0.057195168	0.114262134	-0.13088441	0.12323494	-0.11617742	-0.28886408	-0.15724277	0.0002571661	0.0915803	0.21701862	0.041903473	-0.100131415	0.11616205	-0.22240971	-0.113981254	0.03941966	0.028081521	0.042248994	0.03788642	-0.04627438	0.09326169	0.07768938	-0.07306662	-0.008477436	-0.10291554	0.08348033	0.14928643	-0.100634895	-0.008943672	0.023523003	-0.20797974	0.012230853	-0.03632299	0.02274054	-0.06282765	0.2215367	0.14313787	-0.1066166	-0.20758235	-0.14869493	0.13720065	-0.16000602	-0.07044521	0.14482555	0.15952298	0.030237412	-0.0032684933	-0.0021215654	0.06801996	0.051701315	-0.1788105	-0.12902246	0
0.18219344	0.13622722	-0.06909408	-0.13329908	0.019936664	-0.07208749	0.2241562	-0.059201576	0.18635604	-0.13361287	0.04422748	0.09059262	-0.09297991	0.12828887	-0.1982109	0.057231136	-0.094506346	-0.24797237	-0.10674362	0.19976947	-0.046014972	0.123172656	0.091715336	-0.054797035	0.092402354	-0.23819685	-0.049241543	-0.06334031	0.10789346	-0.031070141	0.20132196	-0.15530561	0.04108082	0.17743489	-0.04114882	0.015940314	-0.030945055	0.0026288722	0.05070351	-0.09786274	-0.1061649	0.2723098	-0.2007845	0.13003488	0.050412945	0.04693767	-0.13835137	0.21487579	0.13635805	-0.12182613	-0.10176666	-0.0658196	0.1334614	-0.17804891	0.005571906	0.017645042	0.12239781	0.033378202	-0.047219615	0.14349824	-0.021815944	0.14780407	-0.1008586	0.078562245	0
0.26296946	0.19730614	0.14373013	-0.15717778	-0.032194715	-0.082052514	0.19041151	0.036722556	0.16655318	-0.1701528	-0.015535694	0.04501733	-0.05730374	0.11461852	-0.13161671	0.12300014	-0.116578296	-0.28880522	-0.15695834	-0.00090368884	0.09203619	0.21722953	0.04266692	-0.10047193	0.11612725	-0.22168158	-0.11342013	0.039831877	0.027574215	0.041814312	0.037230395	-0.045420725	0.0950474	0.07648238	-0.07272877	-0.007906307	-0.103738844	0.08270705	0.1497032	-0.10103443	-0.008062795	0.023712337	-0.20941293	0.01309154	-0.0368725	0.024008079	-0.06354624	0.22219211	0.14434826	-0.10676767	-0.20764339	-0.14952168	0.1377137	-0.15900895	-0.07124604	0.1451251	0.15868065	0.02989491	-0.0016094411	-0.0026933933	0.06831039	0.052182592	-0.17798068	-0.12922986	0
0.26271006	0.19466755	0.14463794	-0.15614872	-0.030216858	-0.07411739	0.18812752	0.03806862	0.16100237	-0.16783692	-0.011080498	0.044462286	-0.05762029	0.1168361	-0.13449894	0.122932166	-0.11747263	-0.28738922	-0.15481582	-0.004741399	0.09669613	0.21749872	0.046556626	-0.10175593	0.11417237	-0.21809763	-0.112870134	0.042341977	0.026395712	0.039256275	0.03545569	-0.04242039	0.10116845	0.07168195	-0.072709434	-0.006265873	-0.108083405	0.081603065	0.1532419	-0.10292836	-0.001413471	0.024105288	-0.21347693	0.017052151	-0.04049324	0.02755075	-0.06430284	0.22515056	0.14786935	-0.10451238	-0.2081977	-0.15167512	0.13875991	-0.15770258	-0.07448828	0.14562826	0.15814318	0.030301863	0.004690267	-0.004941656	0.06939075	0.05439696	-0.17549643	-0.12970826	0
0.27119106	0.00041217246	0.007680241	0.058814235	0.015547542	-0.10169387	0.17359927	0.016074441	0.15823425	-0.053033195	-0.10729863	0.11156651	-0.20601131	-0.12556504	-0.13743758	0.07773417	-0.1314175	-0.3256196	-0.1332154	0.081577465	-0.10006877	0.035496473	0.11543815	0.057909228	0.031103842	-0.17588525	0.0011488235	0.10044896	0.08563719	0.074249364	0.20181815	-0.1580024	0.09063235	0.15111339	0.037418604	-0.13631025	0.11447501	-0.1174209	-0.13888708	-0.26885575	-0.1568499	0.19753289	-0.02454323	-0.044746816	-0.006360382	0.12972248	0.071950644	0.09501627	-0.12627357	-0.17566583	-0.040896535	-0.072634965	0.069381416	-0.24817246	-0.038916945	0.017702654	0.17910402	-0.07944366	0.055950206	-0.027058704	-0.028643493	0.017826652	-0.06725314	0.118073024	0
0.14482698	-0.096242845	0.061235867	0.16725785	-0.07469742	-0.036923993	-0.042758454	-0.021885317	0.14487968	-0.13193749	0.09037927	0.13395089	-0.10260637	-0.09066923	-0.07681383	0.10392317	0.104658276	-0.30779433	-0.038674865	0.08276139	-0.044299282	-0.20187321	-0.0027596978	0.030055238	0.13158235	-0.15909088	-0.028778043	0.0066998443	0.16760096	0.12747142	0.01040168	0.060697608	-0.071156144	0.021221701	-0.074958816	0.005973449	0.04330174	-0.06662977	0.038108755	-0.22832768	-0.19548693	-0.08331243	0.02265925	-0.09126334	0.039534688	-0.011396383	0.036077693	0.042508155	-0.14196366	-0.056800563	-0.0995415	0.14964569	-0.020540044	-0.23509584	-0.29512492	0.22599351	0.14165127	-0.29136962	0.142125	0.1576404	-0.0019584475	0.014099052	-0.20914146	0.07698023	0
0.26265085	0.19479647	0.14488412	-0.15626213	-0.030311683	-0.073924005	0.18786576	0.038217016	0.1607812	-0.16789609	-0.011060628	0.04426089	-0.057214405	0.116846554	-0.13432246	0.123388246	-0.11794554	-0.28728342	-0.15479052	-0.0049465047	0.096671715	0.21771914	0.046740964	-0.10153021	0.11402173	-0.21776667	-0.11263667	0.042722523	0.026140746	0.039148815	0.0352979	-0.04211852	0.101380534	0.07145998	-0.07240237	-0.006625086	-0.108264774	0.08176176	0.15327662	-0.103177704	-0.0010688117	0.023839941	-0.21332382	0.01693292	-0.04058469	0.027745033	-0.064071566	0.22515053	0.14801517	-0.10434964	-0.20833565	-0.15198678	0.13871273	-0.15763277	-0.07436329	0.14588916	0.1580075	0.030323721	0.0048723696	-0.0054285387	0.069633275	0.054018654	-0.17553636	-0.12980616	0
0.14492783	-0.096680395	0.06067236	0.16742831	-0.074299216	-0.03682527	-0.042565264	-0.021717524	0.14486726	-0.13134855	0.09049332	0.13430172	-0.103000775	-0.090686336	-0.07744371	0.10399246	0.10464588	-0.30763233	-0.038980767	0.0827709	-0.043726888	-0.20145619	-0.0018893086	0.02961259	0.13124166	-0.15899226	-0.028669	0.006865044	0.16778931	0.12775111	0.010811437	0.060847014	-0.07097763	0.021230707	-0.07467016	0.0059078345	0.043352317	-0.06685767	0.038204134	-0.22861376	-0.19568072	-0.08346572	0.022869978	-0.0911002	0.0388864	-0.011097906	0.036255542	0.04276873	-0.14244297	-0.056932062	-0.09989087	0.14948955	-0.020312104	-0.23497266	-0.2952826	0.22574952	0.14139545	-0.29103062	0.1424162	0.15798497	-0.0021228432	0.014142266	-0.20889898	0.076952636	0
0.18166955	0.1364774	-0.07147258	-0.1318236	0.019776378	-0.070358306	0.22228241	-0.060750205	0.18597707	-0.13122228	0.046230365	0.0918004	-0.09095858	0.12857077	-0.19861552	0.05744889	-0.09385799	-0.24656996	-0.10700449	0.20095336	-0.0468123	0.124323025	0.09206939	-0.053154126	0.09141667	-0.2365088	-0.047560018	-0.063314244	0.1087172	-0.033762455	0.20166187	-0.15596408	0.04131592	0.17717579	-0.040447906	0.01799982	-0.031359036	0.0036985604	0.050959058	-0.098627664	-0.105593674	0.27287674	-0.20136774	0.1337012	0.049985424	0.047180086	-0.13892835	0.21552876	0.13713393	-0.12165086	-0.10193802	-0.06681473	0.13324751	-0.17668036	0.0070973895	0.016062813	0.120417155	0.033293016	-0.04734862	0.1445474	-0.019684948	0.14803723	-0.10098553	0.08205705	0
0.2505411	0.042503573	-0.13673177	-0.066106394	0.119228005	0.03158275	0.121272355	0.012061993	0.05674436	-0.017191704	0.1175783	0.20006451	-0.07035087	0.11038711	-0.16116233	0.049763247	-0.03963995	-0.06989397	-0.025046602	0.28567764	0.029831138	0.23289157	0.23955333	0.0069803367	-0.121340185	-0.08734419	-0.08792282	0.19564733	0.19236535	0.037973583	0.13841158	-0.25319403	-0.09530173	0.20019305	0.103984356	0.009120806	0.05852822	-0.06822854	0.1472066	-0.09986253	-0.06072487	0.20229816	-0.015818328	0.15598828	-0.057500944	0.13917883	0.062771305	0.13481955	0.025951069	0.06952248	-0.10177434	-0.0077126427	0.20015715	-0.27889037	-0.0019305904	-0.05230865	0.028815297	0.011147816	0.11370845	0.0744905	-0.083109036	0.024819626	-0.099172585	0.029939193	0
