emb1	emb2	emb3	emb4	emb5	emb6	emb7	emb8	emb9	emb10	emb11	emb12	emb13	emb14	emb15	emb16	emb17	emb18	emb19	emb20	emb21	emb22	emb23	emb24	emb25	emb26	emb27	emb28	emb29	emb30	emb31	emb32	emb33	emb34	emb35	emb36	emb37	emb38	emb39	emb40	emb41	emb42	emb43	emb44	emb45	emb46	emb47	emb48	emb49	emb50	emb51	emb52	emb53	emb54	emb55	emb56	emb57	emb58	emb59	emb60	emb61	emb62	emb63	emb64	label
0.03756807	0.23488699	0.20937996	-0.101059586	-0.012175245	-0.08847988	0.1873963	-0.16810459	0.0010889551	-0.16749857	0.2142824	-0.14760348	-0.1675562	0.08846949	-0.22986695	-0.09237188	0.1804865	-0.15405548	0.08235779	-0.06584772	-0.16241592	-0.1251602	-0.13522747	-0.07493932	0.16748244	-0.068317726	0.16762626	0.03315433	-0.09157989	0.07913215	0.1196996	-0.20607625	0.23014903	-0.116473004	-0.08030352	0.13508561	0.014890324	0.10620324	-0.05490855	0.021499481	0.00078191544	-0.14778796	0.08011383	-0.08736404	0.12781847	-0.10664199	-0.09742008	0.119915485	0.1460209	0.18475693	-0.07000308	-0.0505895	0.094106756	0.040710103	0.02829007	0.09153074	-0.06111037	-0.19313061	-0.08462793	-0.13491479	0.015209904	0.09771269	0.054024935	-0.05311548	1
0.05117125	0.19422045	0.22032917	0.017005028	0.052817084	-0.122229904	0.18748312	-0.19001004	0.031281196	-0.19236949	0.084581584	-0.17463514	-0.14549302	0.054287396	-0.2082296	-0.21680632	0.27927387	-0.10517981	-0.013100317	-0.034351386	-0.11860288	-0.04682885	-0.06774884	0.08057934	0.20200108	-0.041512594	0.0968107	0.04691726	-0.04373803	-0.034091055	0.06456429	-0.1974482	0.16777739	-0.15474516	-0.061424807	0.17215252	0.018594727	0.11639139	-0.12726077	-0.075139806	0.08531809	-0.14467123	0.04494593	0.025976282	0.043528587	-0.20964044	-0.12697412	0.07354753	0.17870878	0.13464618	-0.051368613	-0.19368505	0.00377158	-0.061896138	0.058867387	-0.017694429	-0.041015413	-0.1899838	-0.13679814	-0.12073925	0.068695456	0.07632029	0.044461805	-0.11216813	1
0.05078639	0.21963078	0.19595593	-0.10336611	0.006108796	-0.09080571	0.18501236	-0.16114861	-0.007031369	-0.15525118	0.22115254	-0.14840287	-0.16146472	0.092681624	-0.2261833	-0.1105839	0.19742188	-0.15302467	0.06980579	-0.047344055	-0.16912907	-0.118491456	-0.12418769	-0.05059589	0.17819881	-0.068014875	0.1687546	0.042362206	-0.09029293	0.07802839	0.10042367	-0.21579832	0.23501793	-0.11359726	-0.07814069	0.14662024	0.013048901	0.10220621	-0.05843775	0.020756973	-0.014226248	-0.1266644	0.06497005	-0.07928558	0.13839146	-0.09938555	-0.12279564	0.11854395	0.1628933	0.17711276	-0.06287231	-0.06034445	0.09543352	0.05054389	0.055872418	0.082410045	-0.07871984	-0.20146403	-0.09456499	-0.12739268	0.0118669905	0.09548777	0.059721045	-0.06167373	1
0.023098266	0.2116222	0.20296958	-0.14775163	-0.034512144	-0.07776676	0.16698721	-0.13351019	-0.012468109	-0.089336194	0.26311967	-0.10276948	-0.16849089	0.119146034	-0.22294468	-0.06065964	0.1291121	-0.176527	0.07779542	-0.045222938	-0.13392653	-0.13835654	-0.16784936	-0.085279614	0.16190228	-0.04349816	0.19471985	0.06360328	-0.11076086	0.11202055	0.09959884	-0.20543757	0.25041813	-0.094732076	-0.10537416	0.16202515	0.013527239	0.10261403	-0.040223144	0.06891267	-0.032493964	-0.122206375	0.070353456	-0.0927822	0.12947766	-0.034683503	-0.12410623	0.14268228	0.1458596	0.20243071	-0.036292538	-0.01716438	0.102491915	0.071902364	0.0596874	0.13422634	-0.08974284	-0.17142448	-0.066519186	-0.12109291	-0.029417846	0.08108397	0.05496575	-0.042872097	1
0.020090304	0.20964694	0.20005986	-0.15299666	-0.032455817	-0.078813106	0.1686987	-0.13595931	-0.007960441	-0.101748876	0.26474762	-0.106591605	-0.16996822	0.10957298	-0.22046533	-0.07155825	0.14164814	-0.17194603	0.07476775	-0.03902763	-0.14027141	-0.12922007	-0.15460981	-0.08506563	0.16070184	-0.046462927	0.19363412	0.062094316	-0.10576299	0.11445269	0.1026213	-0.21127145	0.2534784	-0.096029	-0.08896892	0.1601365	0.02036275	0.09254353	-0.04544466	0.07317345	-0.040559307	-0.108712256	0.06885423	-0.09156501	0.13863946	-0.03193631	-0.12767488	0.13433482	0.1572807	0.2010015	-0.04244525	-0.01609281	0.097744375	0.07816774	0.062479533	0.12236072	-0.098845854	-0.1734845	-0.06360291	-0.123874426	-0.021302026	0.08358249	0.05611578	-0.046727777	1
0.022170397	0.21396306	0.20633122	-0.148246	-0.03357763	-0.07353589	0.17028722	-0.13596714	-0.012800266	-0.094103225	0.2608529	-0.10719652	-0.16580868	0.11554445	-0.22508278	-0.05868835	0.12689278	-0.17340954	0.08268656	-0.050894074	-0.13560942	-0.14154409	-0.16530707	-0.08691945	0.16272505	-0.046764076	0.19467244	0.060779553	-0.109264925	0.111726105	0.10212174	-0.2046774	0.25041282	-0.09990424	-0.10650378	0.15689912	0.015495932	0.10448399	-0.04053099	0.0631201	-0.028817378	-0.12577124	0.07040137	-0.09078711	0.13008201	-0.039440468	-0.116025314	0.1449463	0.14603567	0.19975568	-0.04058083	-0.01622777	0.10337618	0.067235135	0.054686386	0.13423878	-0.08509797	-0.17112678	-0.066777326	-0.12389758	-0.02877967	0.07932559	0.053536482	-0.042897172	1
0.043346286	0.21984288	0.21016213	-0.10050235	0.0038575805	-0.08119133	0.17973664	-0.15915228	-0.009127875	-0.142683	0.23849079	-0.12658966	-0.16199003	0.10096419	-0.24669854	-0.12468042	0.19495781	-0.15820277	0.06757488	-0.06323993	-0.13800305	-0.11976836	-0.12868798	-0.053665638	0.17916642	-0.0621805	0.16796187	0.04370467	-0.08422203	0.08262117	0.10949467	-0.19944671	0.24432115	-0.11749558	-0.07896188	0.15484072	0.017304242	0.09424856	-0.061146915	0.031243898	-0.006122566	-0.13486974	0.05393288	-0.08582032	0.12090621	-0.08294288	-0.11390257	0.1194828	0.16249645	0.17275137	-0.06085701	-0.06844491	0.100562945	0.058411375	0.0498327	0.0725024	-0.07540701	-0.19502647	-0.082607284	-0.12020308	0.002727955	0.11166686	0.07308084	-0.07280588	1
0.060624562	0.17592138	0.19373842	0.005442123	0.060000844	-0.11900569	0.20523033	-0.18177095	0.028852541	-0.19295576	0.03496125	-0.21763057	-0.13590083	0.0651851	-0.15346038	-0.1715183	0.26226485	-0.08942457	-0.0054344367	0.0033759954	-0.1698496	-0.04986673	-0.082015514	0.1011692	0.20348567	-0.038603306	0.08997589	0.048527732	-0.080721796	-0.05811749	0.045544602	-0.2273412	0.13155863	-0.13373098	-0.07551435	0.17379905	-0.0029612004	0.15937957	-0.12038565	-0.10432908	0.09321797	-0.11833319	0.06548297	0.05757381	0.06291022	-0.2341603	-0.16357413	0.09022114	0.16070348	0.15857121	-0.049178764	-0.17256272	-0.026812438	-0.09618502	0.07122677	0.023885436	-0.021955468	-0.19055554	-0.15713501	-0.119814895	0.07786986	0.022455972	0.002920803	-0.057705108	1
0.06152562	0.1996591	0.2073313	-0.04738335	-0.021483209	-0.11081945	0.1988158	-0.20086318	0.04868274	-0.24377504	0.07083838	-0.1734896	-0.17533594	0.01474228	-0.13363984	-0.20856553	0.250635	-0.08650165	-0.023479419	-0.041085552	-0.20418465	-0.02963057	-0.085257955	0.057154547	0.20363043	-0.04973259	0.09765567	0.03397598	-0.057393536	0.007037296	0.10349417	-0.2582178	0.13295081	-0.1429824	0.013898112	0.11578512	0.040890288	0.10967697	-0.113374114	-0.09594549	0.046630178	-0.1191809	0.072554655	0.002445454	0.137849	-0.19823259	-0.12828027	0.080144376	0.15178832	0.14146724	-0.11883381	-0.12012428	-0.025833845	-0.09222764	0.06968661	0.03386022	-0.030212538	-0.18974212	-0.105128914	-0.16341722	0.09354448	0.049353413	0.0034318534	-0.07270768	1
0.065878615	0.21222888	0.18573824	-0.09100676	0.023764301	-0.09598383	0.18656637	-0.15586051	-0.013520023	-0.14082377	0.20466015	-0.15407665	-0.16361849	0.10999343	-0.21430355	-0.10911515	0.19833156	-0.15436631	0.06150173	-0.029521532	-0.17663616	-0.120731436	-0.13261461	-0.026045367	0.18397862	-0.060104564	0.16868573	0.054600626	-0.10065384	0.061931394	0.08198001	-0.22492196	0.2258195	-0.10299446	-0.09485498	0.16610685	0.00023109076	0.11296432	-0.054359555	0.005787476	-0.010513225	-0.12318735	0.065825455	-0.071505904	0.1314851	-0.10889622	-0.1473976	0.11944853	0.15612227	0.18509457	-0.050179254	-0.074292496	0.09542552	0.03800322	0.067837834	0.088707164	-0.07989914	-0.2086171	-0.10565552	-0.12678373	0.0016842862	0.0867555	0.05384285	-0.059070364	1
-0.058493093	0.13962135	0.21693893	0.02916804	0.09163709	-0.05495068	0.20475817	-0.14978442	0.114270195	-0.25080055	0.08667548	-0.13074163	-0.11403614	-0.07242594	-0.26049647	-0.23571587	0.2664283	-0.035187215	-0.022973152	-0.054629013	-0.043705486	-0.054987263	0.07479145	0.06406812	0.17419118	-0.07599193	0.13065767	0.05517246	0.12937707	0.012541015	0.1144889	-0.060384415	0.19020376	-0.19439238	-0.011092233	0.06111666	0.15013862	0.045766205	-0.19545911	-0.11951401	0.052668706	-0.13586813	0.0068701664	0.0053895162	0.01657594	-0.17047182	0.0066299196	-0.029752012	0.22840238	-0.023842886	-0.08015616	-0.13293877	0.005491674	-0.07589079	-0.008329545	-0.18765625	-0.03384505	-0.16192064	-0.054414347	-0.10617438	0.04424283	0.09019421	0.11564188	-0.2034798	1
-0.027410587	0.10862552	0.20028359	-0.0062456224	0.1171366	0.016680505	0.22529766	-0.14887263	0.11235301	-0.2529284	0.119852886	-0.17529121	-0.080923684	-0.05332686	-0.29483894	-0.16320433	0.23888592	-0.03909033	0.060430508	-0.029681131	-0.09196602	-0.11399312	0.07594443	0.060638607	0.18487611	-0.11119045	0.16798718	0.038409732	0.0790937	0.038627133	0.1309301	-0.025729906	0.19187373	-0.1773732	-0.03312759	0.03497668	0.13577019	0.07517788	-0.16597319	-0.13338706	0.010322367	-0.13927796	0.0059643304	-0.064865984	0.084170915	-0.14093092	0.007342279	-0.04450714	0.22091767	-0.03202463	-0.08713724	-0.100687325	0.08109042	-0.04194378	-0.047777727	-0.16140172	-0.0056949034	-0.2239281	-0.052248545	-0.109632045	0.024119299	0.067349955	0.12298366	-0.19417106	1
0.021222204	0.20896801	0.20011985	-0.14984486	-0.030733097	-0.07675856	0.16920492	-0.13527377	-0.007918326	-0.10304715	0.26495576	-0.10750384	-0.17109658	0.11158793	-0.22183256	-0.066763595	0.14090917	-0.17377567	0.077242196	-0.03793566	-0.14033943	-0.13063431	-0.15680996	-0.08986305	0.15617223	-0.050197147	0.19449943	0.06247229	-0.10476439	0.114263505	0.10432695	-0.21135086	0.25414312	-0.093162104	-0.09036529	0.16037746	0.019758567	0.09742774	-0.043258574	0.07333825	-0.040261082	-0.10746455	0.07133672	-0.091999225	0.1356216	-0.03188977	-0.12596029	0.13659424	0.15511385	0.20035696	-0.043744743	-0.014205761	0.097284555	0.078722484	0.06095336	0.12284252	-0.09643541	-0.17414548	-0.06398582	-0.12239452	-0.018315112	0.0822972	0.059240635	-0.039856303	1
0.020073753	0.20683177	0.20239718	-0.14509013	-0.02540393	-0.084297694	0.16630504	-0.13225177	-0.0075159054	-0.09236756	0.26575795	-0.098856464	-0.17449738	0.11735742	-0.22022003	-0.07947988	0.14625311	-0.17913681	0.06641486	-0.0322195	-0.12969731	-0.12959886	-0.15872622	-0.07975177	0.16139816	-0.04124681	0.19497997	0.074605644	-0.10126477	0.11220636	0.09797697	-0.21076095	0.2544642	-0.08954944	-0.09377165	0.17315158	0.020109305	0.0933734	-0.049723372	0.078665584	-0.04026121	-0.106125295	0.06757991	-0.09058581	0.12718692	-0.025596224	-0.1343888	0.13228467	0.15928346	0.20000562	-0.034568395	-0.02196721	0.095177196	0.08032376	0.06686419	0.11893237	-0.10450283	-0.17249583	-0.06474267	-0.11908372	-0.023272999	0.083439365	0.06434353	-0.048201717	1
0.021556504	0.21489778	0.20458618	-0.14836001	-0.034122586	-0.0734833	0.17199656	-0.1364837	-0.009479361	-0.1018731	0.25880694	-0.110893846	-0.16774139	0.11322194	-0.22293466	-0.05513403	0.12906477	-0.17378326	0.08403477	-0.047378317	-0.14090271	-0.13963605	-0.16268934	-0.09223634	0.15823889	-0.05045587	0.195112	0.05959875	-0.10921852	0.1118401	0.10611786	-0.20708737	0.24976453	-0.09773723	-0.10187068	0.15411699	0.015424091	0.10565993	-0.040556207	0.063621596	-0.030723015	-0.12147657	0.074036255	-0.09241675	0.13262954	-0.040944193	-0.115697235	0.14262527	0.14593098	0.20109907	-0.045078494	-0.012098853	0.10100405	0.06814797	0.05171118	0.13376245	-0.08415914	-0.17271088	-0.06490807	-0.12551741	-0.022957988	0.0788072	0.05282353	-0.03706532	1
-0.06274949	0.14123558	0.22222784	0.033820473	0.09196822	-0.05363951	0.20449084	-0.15230271	0.117008016	-0.24789532	0.08202945	-0.13040957	-0.11508795	-0.0699179	-0.26178715	-0.23135883	0.2600441	-0.036195744	-0.02035916	-0.056102023	-0.03813624	-0.058153242	0.0700662	0.061398685	0.16992354	-0.07389112	0.13371365	0.05791791	0.13220036	0.01035931	0.11473335	-0.058920596	0.18941486	-0.19282809	-0.017269611	0.06360945	0.15214005	0.050340608	-0.19658849	-0.1201949	0.06005788	-0.13998708	0.0130330715	0.00808681	0.007953377	-0.17479306	0.015581293	-0.029205054	0.22645125	-0.024045598	-0.077318214	-0.13204113	0.0036024936	-0.083058454	-0.011047433	-0.1884312	-0.028415691	-0.16015664	-0.055793077	-0.10815344	0.043559738	0.086472236	0.11821734	-0.20146474	1
-0.058495883	0.13948454	0.21427971	0.024181053	0.09049536	-0.053655773	0.205009	-0.14611623	0.11009486	-0.2510111	0.09424238	-0.12822324	-0.11331954	-0.071914464	-0.26275495	-0.2378227	0.26522142	-0.035753265	-0.023785744	-0.056887526	-0.04609344	-0.054492377	0.077056564	0.062371828	0.17646405	-0.07699089	0.13038853	0.055119812	0.13058077	0.017327897	0.11476487	-0.06009343	0.19613858	-0.19363788	-0.007097126	0.058295056	0.15003388	0.040201347	-0.19580992	-0.11737716	0.049935214	-0.1337471	0.0017653618	0.0014828555	0.023098031	-0.16471714	0.0053747324	-0.026987435	0.23239857	-0.024531864	-0.08313857	-0.12655228	0.009482643	-0.070882924	-0.0066087064	-0.18826783	-0.033978492	-0.1639652	-0.048029073	-0.10474244	0.041956417	0.09531753	0.11522575	-0.20590448	1
-0.039941736	0.14028883	0.21879438	-0.026791824	0.10239675	0.0016168302	0.2307758	-0.1495823	0.110640265	-0.25316083	0.14262486	-0.15337592	-0.10088372	-0.040389545	-0.2984897	-0.16001877	0.2224839	-0.04306189	0.06387358	-0.054828137	-0.08191061	-0.12715077	0.04923845	0.02292446	0.17651284	-0.10550368	0.18751255	0.047237113	0.090607256	0.056497194	0.14555976	-0.039881594	0.20494814	-0.16292575	-0.03301718	0.036230117	0.1520811	0.060310394	-0.14773895	-0.10989428	0.0076169767	-0.15068765	0.027368259	-0.09160274	0.080232084	-0.11923722	0.029207632	-0.0384778	0.20918813	-0.015376646	-0.09270879	-0.07936153	0.095405504	-0.038375743	-0.05252525	-0.14009085	-0.016882619	-0.20344928	-0.03593324	-0.11639153	0.00031834986	0.08926095	0.1353848	-0.19488072	1
-0.043096703	0.1092741	0.21117713	-0.009506599	0.113071024	0.011967877	0.2241123	-0.16243914	0.12813899	-0.25814164	0.104913786	-0.1797886	-0.08903931	-0.06273797	-0.28812397	-0.15916853	0.23874229	-0.029953582	0.05815331	-0.024559127	-0.08724019	-0.10557871	0.07341887	0.06120864	0.17130059	-0.10209648	0.17424169	0.03650389	0.08380604	0.032657072	0.13308978	-0.03465739	0.18455856	-0.17672963	-0.023924127	0.03853575	0.14976731	0.07524052	-0.1684377	-0.13156638	0.014437274	-0.136359	0.02933789	-0.05257502	0.072422594	-0.15174992	0.02054339	-0.055656843	0.21892817	-0.02159043	-0.08469316	-0.10523693	0.060926165	-0.054047987	-0.045335505	-0.16654545	-0.007996932	-0.21609697	-0.057761155	-0.11996782	0.033346243	0.055666752	0.120840736	-0.18817738	1
0.06631296	0.2083373	0.18709528	-0.09633723	0.024812832	-0.090757966	0.18457964	-0.15444735	-0.016214289	-0.133909	0.21441373	-0.14813784	-0.15685749	0.11086189	-0.2225599	-0.119727276	0.20024414	-0.15200147	0.058202308	-0.03266663	-0.17004417	-0.118126184	-0.1273039	-0.017261222	0.19055164	-0.05867705	0.1683546	0.05368881	-0.09899022	0.06423552	0.080228254	-0.22087097	0.23088957	-0.10727811	-0.09264167	0.16737801	0.002599611	0.10636893	-0.056392226	0.0074379835	-0.011769561	-0.119978495	0.0560804	-0.07036638	0.1333223	-0.101700604	-0.14856282	0.12014212	0.16310656	0.18044184	-0.049312413	-0.07926803	0.098623246	0.041635647	0.07505108	0.08314893	-0.08231619	-0.207342	-0.1030197	-0.123039424	-0.0036041928	0.0915214	0.056804784	-0.069298714	1
0.010877484	0.21909285	0.20644538	-0.15577969	-0.04727067	-0.07710536	0.17282581	-0.1400685	0.00031801107	-0.11385737	0.2581739	-0.1071365	-0.1770148	0.10598852	-0.21698782	-0.053300157	0.1291734	-0.17302096	0.08598828	-0.050733127	-0.13919073	-0.13107607	-0.16375974	-0.11058396	0.15012264	-0.048020862	0.19369611	0.053688392	-0.10694001	0.115699336	0.1156571	-0.20607524	0.2478977	-0.09546822	-0.08507253	0.14695004	0.021002097	0.09684615	-0.038538583	0.075755954	-0.033684008	-0.12263928	0.08094923	-0.09889937	0.13579096	-0.037251446	-0.111227214	0.13351467	0.14489277	0.20604661	-0.051804654	-0.0038592813	0.09430069	0.07336864	0.03991851	0.13251002	-0.086079344	-0.16947259	-0.056737185	-0.13008457	-0.014276063	0.08206217	0.051058523	-0.03495612	1
0.06116298	0.18292718	0.20514576	0.01933422	0.06199512	-0.122275256	0.18994555	-0.18471338	0.022899874	-0.19043057	0.07386771	-0.18757367	-0.13891107	0.059125766	-0.19251221	-0.20556575	0.28221798	-0.10406752	-0.011448954	-0.014544163	-0.13638295	-0.0454854	-0.0697289	0.09572054	0.2044591	-0.042371184	0.087519884	0.048739597	-0.058496226	-0.044940285	0.05502624	-0.20656419	0.15876803	-0.14816661	-0.06571777	0.17648047	0.002470822	0.13294286	-0.12744029	-0.083316475	0.08626876	-0.13034548	0.041495755	0.040400855	0.050655484	-0.21411628	-0.14891288	0.08112652	0.1787126	0.14248715	-0.04602393	-0.19175714	-0.00587015	-0.065100774	0.06883171	-0.010324534	-0.033704817	-0.19625813	-0.1462113	-0.111620694	0.078002274	0.0615946	0.030141395	-0.09239729	1
